식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"콩나물, 가루",100,409,45.4,11.6,31.7,-
"콩나물, 녹색, 생것",100,27,4.2,0.9,2.7,-
"콩잎, 잎, 생것",100,94,6.6,0.3,21,-
"토란대, 줄기, 생것",100,16,0.28,0.05,4.25,1.52
"토란대, 줄기, 데친것",100,20,0.4,-,5.3,-
"토란대, 줄기, 말린것",100,261,7.4,1.1,65.5,-
"토란대, 줄기, 말린것, 데친것",100,20,0.5,0.1,4.9,-
"토마토, 생것",100,19,1.03,0.18,4.26,2.37
"토마토, 데친것",100,17,0.7,0.14,4.06,2.08
"토마토, 대저, 생것",100,23,0.76,0.04,5.87,1.45
"토마토, 대저, 데친것",100,26,0.94,0.06,6.5,3.85
"토마토, 방울토마토, 생것",100,25,1,0.13,6.02,3.89
"토마토, 유기재배, 생것",100,17,0.9,0.1,3.9,-
"토마토, 흑토마토, 생것",100,21,0.68,0.04,5.22,2.96
"토마토, 흑토마토, 데친것",100,19,0.66,0.03,4.78,2.74
토마토 음료,100,41,0.4,0.02,10.92,8.4
"토마토, 통조림",100,21,0.9,0.2,4.4,-3.6
"토마토, 통조림, 페이스트",100,98,4.22,0.24,19.68,11.78
"토마토, 통조림, 퓨레",100,44,1.9,0.1,9.9,-5.2
"토스카노(잎브로콜리), 생것",100,40,4.7,0.6,6.7,-
"파, 생것",100,29,1.2,0.2,6.7,-
"파, 골파, 생것",100,29,1.5,0.2,6.5,-
"파, 실파, 생것",100,16,1.5,0.1,3.2,-
"파, 쪽파, 생것",100,21,1.73,0.14,4.24,1.17
"파, 대파, 생것",100,23,1.78,0.15,4.8,2.63
"파드득나물(삼엽채), 생것",100,25,1.8,0.1,5.5,-
"파슬리, 생것",100,36,3.2,0.5,6.8,-
"파프리카, 노란색, 생것",100,24,0.77,0.12,5.95,2.79
"파프리카, 노란색, 데친것",100,25,0.79,0.13,6.21,2.76
"파프리카, 빨간색, 생것",100,26,0.91,0.13,6.42,2.65
"파프리카, 빨간색, 데친것",100,28,0.92,0.13,6.91,2.68
"파프리카, 주황색, 생것",100,24,1.02,0.12,5.88,5.26
"파프리카, 주황색, 데친것",100,27,1.06,0.12,6.45,5.38
"미니파프리카, 노란색, 생것",100,41,1.01,1.09,8.32,8.8
"미니파프리카, 빨간색, 생것",100,41,1.07,0.94,8.49,7.45
"미니파프리카, 주황색, 생것",100,38,0.97,0.79,8.22,6.28
"피망, 빨간색, 생것",100,28,1.17,0.09,6.94,3.02
"피망, 빨간색, 데친것",100,33,1.24,0.11,8.18,3.13
"피망, 초록색, 생것",100,22,0.9,0.04,5.36,1.35
"피망, 초록색, 데친것",100,23,0.92,0.06,5.59,1.16
"할라페뇨, 통조림",100,27,0.92,0.94,4.74,2.14
"해바라기, 싹, 생것",100,9,2.2,0.1,0.9,-
"호박, 싹, 생것",100,38,4.5,1.7,3.6,-
"호박, 잎, 생것",100,45,4.83,0.38,8.43,0.84
"호박, 잎, 데친것",100,32,3.09,0.34,6.14,0.33
"호박, 잎, 찐것",100,49,4.84,0.49,9.19,0.7
"호박, 국수호박, 생것",100,18,0.6,0.1,4.4,-
"호박, 국수호박, 데친것",100,16,0.5,0.1,3.8,-
"호박, 늙은호박, 생것",100,38,0.88,0.17,8.49,3.5
"호박, 늙은호박, 데친것",100,30,1.7,0.1,6.9,-
"호박, 늙은호박, 삶은것",100,24,0.6,0.13,5.23,2.55
"호박, 늙은호박, 찐것",100,40,1.09,0.14,8.88,4.93
"호박, 늙은호박, 말린것",100,333,7.6,2.42,72.33,37.86
"호박, 단호박, 생것",100,57,1.19,0.65,13.63,4.74
"호박, 단호박, 데친것",100,30,1.7,0.1,6.9,-
"호박, 단호박, 찐것",100,66,1.72,0.84,15.45,7.34
"호박, 애호박, 생것",100,22,1.07,0.09,5.14,2.43
"호박, 애호박, 데친것",100,21,1.05,0.1,4.88,2.08
"호박, 애호박, 말린것",100,284,13.75,1.11,67.64,41.33
"호박, 애호박, 말린것, 데친것",100,31,2.24,0.26,6.54,0.67
"호박, 쥬키니, 생것",100,31,1.2,0.1,7.7,-
"호박, 쥬키니, 데친것",100,11,0.9,0,2.4,-
"호박, 차요테, 초록색, 생것",100,21,0.59,0.46,4.37,2.32
"호박, 차요테, 하얀색, 생것",100,19,0.61,0.33,4.27,2.54
호박즙,100,21,0.64,0,4.73,3.53
"화살나무(홑잎), 순, 생것",100,96,4.77,0.84,21.59,3.32
"화살나무(홑잎), 순, 데친것",100,78,4.03,0.94,17.03,2.07
"검은비늘버섯, 생것",100,13,1.8,0.1,4.5,-
"검은비늘버섯, 말린것",100,177,20.1,2.7,62.1,-
"꽃송이버섯, 생것",100,19,1.11,0.39,7.35,0.89
"꽃송이버섯, 데친것",100,22,0.87,0.49,8.99,0.3
"꽃송이버섯, 말린것",100,182,15.18,4.14,66.49,0.45
"나도팽나무버섯, 생것",100,16,2.4,0,5.7,-
"나도팽나무버섯, 말린것",100,182,23.6,0.5,66.1,-
"노루궁뎅이버섯, 생것",100,13,2.57,0.41,2.89,0.54
"노루궁뎅이버섯, 데친것",100,18,3.28,0.4,4.68,0.12
"노루궁뎅이버섯, 말린것",100,179,24.5,3.2,57.8,-
"느타리버섯, 생것",100,15,2.6,0.14,4.7,0.74
"느타리버섯, 데친것",100,21,3.26,0.23,6.51,0.01
"느타리버섯, 말린것",100,189,25.1,3.9,60.72,-
"느타리버섯, 말린것(자연건조)",100,182,25.36,2.98,58.92,-
"느타리버섯, 노랑느타리버섯, 생것",100,16,2.5,0.1,5.3,-
"느타리버섯, 분홍느타리버섯, 생것",100,24,4.1,0,8.1,-
"느타리버섯, 여름느타리버섯, 생것",100,21,4.4,0.1,6,-
"느타리버섯, 율무느타리버섯, 생것",100,21,3.6,0.3,6.4,-
"느타리버섯, 참타리버섯, 생것",100,16,2.6,0,5.3,-
"느타리버섯, 참타리버섯, 데친것",100,20,3.9,0,6.1,-
"느타리버섯, 청느타리버섯, 생것",100,18,3.9,0,5.2,-
"능이버섯(향버섯), 생것",100,17,2.2,0.1,5.9,-
"동충하초, 누에동충하초, 생것",100,27,5.56,0.38,7.07,0.33
"동충하초, 누에동충하초, 말린것",100,133,60.9,2.4,0,-
"만가닥버섯, 생것",100,19,2.5,0.34,6.34,0.37
"만가닥버섯, 데친것",100,19,2.73,0.35,6.07,0.11
"목이버섯, 생것",100,13,0.79,0.19,5.22,0.12
"목이버섯, 데친것",100,13,1.15,0.23,4.84,0
"목이버섯, 말린것",100,169,11.88,1.26,69.66,1.57
"목이버섯, 말린것(자연건조)",100,183,14.1,1.99,72.78,1.67
"목이버섯, 흰백목이, 생것",100,28,1.2,0.55,11.58,0.18
"목이버섯, 흰백목이, 데친것",100,18,1.02,0.43,7.01,0.1
"밤버섯, 생것",100,17,2.9,0.9,3.5,-
"버들송이버섯, 생것",100,20,4.2,0.1,5.5,-
"버들송이버섯, 갓, 말린것",100,191,23.3,4.7,61.6,-
"버들송이버섯, 줄기, 말린것",100,183,14.3,2.7,71.1,-
"뽕나무버섯, 야생, 갓, 말린것",100,195,27.7,6.9,54.4,-
"뽕나무버섯, 야생, 줄기, 말린것",100,180,15.8,0.9,72.2,-
"뽕나무버섯, 재배, 갓, 말린것",100,192,24.4,5.7,58.6,-
"뽕나무버섯, 재배, 줄기, 말린것",100,182,12.8,0.6,76.6,-
"상황버섯, 말린것",100,179,4.4,0.27,84.58,0
"상황버섯, 추출",100,3,0.07,0.01,0.56,0.12
"석이버섯, 말린것",100,165,11.75,0.96,68.47,0.33
"송이버섯, 생것",100,21,2.05,0.15,8.12,0.31
"송이버섯, 데친것",100,22,2.15,0.24,8.51,1.22
"싸리버섯, 생것",100,20,2.8,0.6,5.7,-
"싸리버섯, 말린것",100,179,19.9,4.8,58.9,-
"아위버섯, 생것",100,26,3.53,0.4,8.56,0.59
"아위버섯, 데친것",100,27,3.62,0.43,8.69,0.01
"애느타리버섯, 생것",100,16,4.2,0.1,3.5,-
"양송이버섯, 생것",100,15,3.12,0.23,3.89,0.77
"양송이버섯, 데친것",100,15,3.15,0.26,3.63,0.89
"양송이버섯, 말린것(자연건조)",100,166,40.82,3.52,34.09,0.52
"양송이버섯, 가루",100,176,33.39,3.57,46.49,1.93
"양송이버섯, 통조림",100,17,3.75,0.41,3.87,0
"양송이버섯, 갈색양송이, 생것",100,15,3.73,0.2,3.24,0.59
"양송이버섯, 갈색양송이, 데친것",100,14,2.94,0.31,3.5,0.37
"영지버섯, 말린것",100,187,9.41,1.4,81.03,0
"영지버섯, 추출",100,0,0.07,0.01,0.03,0
"잎새버섯, 생것",100,13,2.2,0.5,3.29,0.14
"잎새버섯, 데친것",100,16,2.26,0.57,4.46,0
"큰느타리버섯(새송이버섯), 생것",100,20,2.92,0.23,6.54,0.25
"큰느타리버섯(새송이버섯), 데친것",100,21,3.14,0.33,6.48,0.03
"큰느타리버섯(새송이버섯), 말린것",100,179,25.05,2.07,59.81,4.88
"큰느타리버섯(새송이버섯), 말린것(자연건조)",100,171,26.23,2.09,54.68,4.69
"큰느타리버섯(새송이버섯), 가루",100,184,25.09,2.51,61.4,-
"팽이버섯, 생것",100,21,2.41,0.51,7,0.54
"팽이버섯, 데친것",100,20,2.6,0.39,6.43,0.06
"팽이버섯, 갈뫼, 생것",100,18,2,0,6.9,-
"팽이버섯, 백로, 생것",100,22,2.6,0.1,8.4,-
"팽이버섯, 야생, 생것",100,18,1.4,0.7,6.1,-
"팽이버섯, 갈색팽이, 생것",100,21,3.06,0.6,6.13,0.65
"팽이버섯, 갈색팽이, 데친것",100,21,3.01,0.37,6.59,0.18
"포타벨라, 생것",100,16,3.3,0.1,4.6,-
"표고버섯, 배지재배, 생것",100,31,3.9,0.38,10.84,0.36
"표고버섯, 배지재배, 데친것",100,25,3,0.34,8.63,0.51
"표고버섯, 배지재배, 말린것",100,178,22.42,2.14,61.81,2.27
"표고버섯, 배지재배, 말린것(자연건조)",100,174,23.56,1.99,58.78,0.19
"표고버섯, 배지재배, 말린것, 삶은것",100,29,3.2,0.36,10.55,0.55
"표고버섯, 배지재배, 갓, 생것",100,26,4.44,0.32,8.03,0.4
"표고버섯, 배지재배, 갓, 데친것",100,21,4.71,0.3,4.98,0.96
"표고버섯, 배지재배, 갓, 말린것",100,183,31.84,2.93,53.29,3.3
"표고버섯, 배지재배, 갓, 말린것, 삶은것",100,24,4.06,0.43,6.8,0.82
"표고버섯, 배지재배, 대, 생것",100,39,4.59,0.33,14.02,0.66
"표고버섯, 배지재배, 대, 데친것",100,32,3.25,0.24,12.36,0.88
"표고버섯, 배지재배, 대, 말린것",100,180,21.14,1.61,65.35,4.69
"표고버섯, 배지재배, 대, 말린것, 삶은것",100,31,2.91,0.34,11.8,0.46
"표고버섯, 참나무재배, 생것",100,18,2,0.3,6.1,-
"표고버섯, 참나무재배, 데친것",100,18,2.4,0.2,6.3,-
"표고버섯, 참나무재배, 말린것",100,178,18.1,3.1,63.7,-
"표고버섯, 참나무재배, 말린것, 삶은것",100,35,3,0.7,13,-
"표고버섯, 가루",100,186,18.84,2.54,68.25,4.61
"풀버섯, 생것",100,15,2.7,0.1,4.6,-
"감, 탈삽, 생것",100,59,0.5,0.1,16.9,13.6
"감, 단감, 생것",100,51,0.41,0.04,13.66,10.52
"감, 단감, 잼",100,225,0.3,0.1,55.7,-
"감, 대봉, 갑주백목, 생것",100,72,0.51,0.86,17.57,16.66
"감, 둥시, 생것",100,71,0.6,0.1,18.8,-
"감, 둥시, 말린것",100,223,1.59,0.05,60.45,24.25
"감, 연시, 생것",100,65,0.29,0.04,17.76,12.32
"감, 연시, 냉동",100,66,0,0.04,18.36,10.35
"감, 감말랭이, 말린것",100,255,1.94,0.16,68.61,55.11
"감, 곶감, 말린것",100,214,1.93,0.08,57.45,29.76
감 주스,100,41,0.1,0.1,11,-
"구기자, 열매, 재래종, 생것",100,69,4.5,2.04,10.23,7.31
"구아바, 생것",100,33,0.6,0.1,9.9,-3.5
"구아바, 넥타, 과육 20%",100,49,0.1,0.1,12.3,-9.9
"구아바 주스, 과즙 음료(10%)",100,50,0.1,0.1,12.3,-
"구즈베리, 생것",100,51,1,0.1,13.2,-10.9
"귤, 만감류, 레드향, 생것",100,48,0.59,0.12,12.39,10.44
"귤, 만감류, 신예감, 생것",100,34,0.29,0.41,8.2,6.7
"귤, 만감류, 천혜향, 생것",100,41,0.82,0.08,10.56,8.37
"귤, 만감류, 한라봉, 생것",100,50,0.99,0.11,12.8,10.17
"귤, 만감류, 황금향, 생것",100,40,0.4,0.13,10.3,8.39
"귤, 온주밀감, 생것",100,39,0.53,0.1,10.04,7.99
"귤, 온주밀감, 궁천조생, 노지, 생것",100,39,0.29,0.16,10.16,8.19
"귤, 온주밀감, 궁천조생, 하우스, 생것",100,42,0.69,0.09,10.78,8.76
"귤, 온주밀감, 유라조생, 하우스, 생것",100,39,0.55,0.08,10.17,9.05
"귤, 온주밀감, 일남1호, 생것",100,33,0.49,0.08,8.48,7.35
"귤, 온주밀감, 하례조생, 노지, 생것",100,37,0.4,0.08,9.74,7.85
"귤, 온주밀감, 하례조생, 하우스, 생것",100,44,0.71,0.14,11.18,9.23
"귤, 온주밀감, 흥진조생, 생것",100,40,0.48,0.14,10.41,8.39
"귤, 임온주, 생것",100,43,1,0.1,10.8,-
"귤 주스, 천연과즙",100,39,0.2,0.1,10.4,-
"귤, 잼",100,309,1,0,76.2,-
"귤, 통조림",100,63,0.5,0.1,15.3,-
"금귤, 생것",100,73,1.19,0.13,18.77,11.77
"꾸지뽕, 열매, 생것",100,74,1.74,2.16,13.82,9.9
"다래, 생것",100,67,1.6,0.4,16.2,-
"대추, 생것",100,105,1.45,0.1,27.56,24.34
"대추, 말린것",100,276,3.73,0.25,72.57,59.09
"대추야자, 말린것",100,281,2.2,0.2,71.3,-59
"두리안, 생것",100,140,2.3,3.3,27.1,-
"딸기, 개량종, 생것",100,36,0.8,0.2,8.9,-
"딸기, 설향, 생것",100,34,0.7,0.07,8.5,6.09
"딸기, 재래종, 생것",100,29,0.8,0.1,7.2,-
"딸기, 말린것",100,329,0.5,0.2,82.8,-
"딸기, 잼",100,285,0.51,0.09,70.45,52.33
"라임, 생것",100,30,0.7,0.2,10.54,1.69
"라임 주스, 천연과즙",100,25,0.42,0.07,8.42,1.69
"라임 주스, 캔",100,21,0.25,0.23,6.69,1.37
"라즈베리, 생것",100,52,1.2,0.65,11.94,4.42
"라즈베리, 냉동",100,56,1.15,0.81,12.55,6.54
"람부탄, 통조림",100,82,0.65,0.21,20.87,-
"레몬, 생것",100,36,0.71,0.08,9.27,1.87
레몬 과즙,100,24,0.4,0.2,8.6,1.5
"롱안, 생것",100,60,1.31,0.1,15.14,-
"롱안, 말린것",100,286,4.9,0.4,74,-
"리치, 생것",100,61,1,0.1,16.4,-14.9
"리치, 냉동",100,56,0.85,0.08,14.47,12.21
"마가목 열매, 생것",100,115,1.3,0.8,25.5,-
"망고, 생것",100,61,0.72,0.1,15.97,13.66
망고 음료,100,28,0.04,0.01,7.71,6.26
"망고, 애플망고, 생것",100,57,0.54,1.14,12.56,11.62
"망고스틴, 생것",100,71,0.6,0.2,17.5,-
"매실, 생것",100,41,1.1,1.1,7.8,-
"매실, 남고, 생것",100,26,0.94,0.77,6.24,2.76
"매실, 선암매, 생것",100,39,1.2,0.7,8,-
"매실, 천매, 생것",100,37,0.7,0.6,8.1,-
매실청,100,213,0.23,0.18,52.72,44.06
"매실 절임, 당절임, 고형물",100,216,1.86,0.52,51.08,33.85
"매실 절임, 염절임, 고형물",100,29,0.9,0.7,8.6,0.9
"머루, 생것, 껍질과 씨 포함",100,79,1.51,0.94,18.32,7.39
"머루, 개량머루, 생것, 껍질과 씨 포함 ",100,83,1.6,1.83,17.27,10.92
"머루, 머스켓베일리에이, 생것",100,76,0.34,0.75,18.96,16.86
"머루, 왕머루, 생것, 껍질과 씨 포함",100,87,1.58,1.27,19.67,8.41
머루 주스,100,81,0.3,0.2,21.8,-
"멜론, 감로, 생것",100,21,0.5,0.1,5.1,-
"멜론, 머스크, 생것",100,40,1.5,0.04,9.64,8.08
"멜론, 화이트, 생것",100,38,0.7,0.1,9.6,-
"모과, 생것",100,78,0.7,0.4,20,-
"무화과, 생것",100,57,0.6,0.1,14.3,-10.8
"무화과, 승정도후인, 생것",100,52,0.74,0.09,13.47,11.28
"무화과, 봉래시, 생것",100,45,0.82,0.11,11.51,10.77
"무화과, 수입산, 말린것",100,319,4.75,3.01,77.22,58.92
"무화과, 승정도후인, 말린것",100,254,5.1,0.9,63.6,-
"무화과, 통조림",100,78,0.5,0.1,19.4,-
"바나나, 생것",100,77,1.11,0.2,20,14.4
"바나나, 말린것",100,314,3.8,0.4,78.5,-53.9
"바나나칩, 튀긴것",100,517,2.07,25.67,69.32,16.1
"배, 생것",100,45,0.29,0.04,12.24,8.3
"배, 돌배, 생것",100,46,0.3,0.1,12.3,-
"배, 돌배, 생것, 껍질 포함",100,48,0.4,0.1,12.8,-
"배, 만풍, 생것",100,44,0.26,0.04,11.98,9.85
"배, 백운배, 생것",100,39,0.3,0.1,10.4,-
"배, 신고, 생것",100,46,0.3,0.04,12.4,9.81
"배, 원황, 생것",100,46,0.29,0.04,12.34,5.23
"배, 장심랑, 생것",100,35,0.4,0.3,8.6,-
"배, 수입산, 생것",100,49,0.2,0.1,12.7,-
배즙,100,52,0.3,0.5,13,-
"배 음료, 캔",100,42,0,0,11.76,10.15
"백향과(패션프루트), 생것, 씨 포함",100,100,1.68,1.55,22.58,8.58
"백향과(패션프루트) 주스, 천연과즙",100,67,0.8,0.4,16.2,-4
"백향과(패션프루트) 주스, 황색과육",100,60,0.67,0.18,14.45,14.25
"백향과(패션프루트) 주스, 자색과육",100,51,0.39,0.05,13.6,13.4
"버찌, 생것",100,60,1.7,0.1,14.9,-
"버찌, 통조림",100,70,0.6,0.1,17.6,-13.4
"버찌, 미국산, 생것",100,64,1.2,0.1,17.1,-13.6
"버찌, 일본산, 생것",100,64,1,0.2,15.2,-
"보리밥 열매, 말린것",100,354,18.5,1.3,68.5,-
"복분자, 생것",100,88,1.52,2.2,17.96,8.06
"복숭아, 미숙, 생것",100,48,1.8,0.7,10,-
"복숭아, 백도, 생것",100,49,0.59,0.04,13.1,9.45
"복숭아, 백도, 통조림",100,66,0.28,0.03,16.04,14.22
"복숭아, 백도, 통조림, 고형물 ",100,68,0.38,0.05,16.51,14.77
"복숭아, 백도, 통조림, 액즙",100,63,0.19,0,15.59,13.7
"복숭아, 천도, 생것",100,32,0.93,0.05,7.85,4.67
"복숭아, 천중도, 생것",100,49,0.74,0.79,11.18,10.21
"복숭아, 황도, 생것",100,49,0.4,0.04,13.03,9.29
"복숭아, 황도, 통조림",100,81,0.31,0.03,19.95,18.81
"복숭아, 황도, 통조림, 고형물 ",100,83,0.44,0.05,20.29,18.5
"복숭아, 황도, 통조림, 액즙",100,79,0.19,0,19.62,19.09
"복숭아, 당절임",100,311,2.6,0.1,75,-
"복숭아, 넥타",100,54,0.29,0.03,13.02,9.92
"복숭아, 잼",100,211,0.66,0.03,51.98,43.37
"블랙베리, 생것",100,43,0.67,1.13,8.69,5.76
"블랙커런트, 생것",100,63,1.4,0.41,15.38,-
"블루베리, 생것",100,48,0.55,0.09,12.57,9.96
"블루베리, 말린것",100,325,4.45,1.11,83.57,48.28
"블루베리, 냉동",100,41,0.81,0.26,10.07,6.64
"블루베리, 잼",100,283,0.21,0.11,70.22,44.44
"블루베리, 통조림",100,88,0.65,0.33,22.06,20.46
"비파, 생것",100,45,0.29,0.2,11.95,10.8
"비파, 통조림",100,80,0.3,0.1,19.8,-
"사과, 생것",100,57,0.2,0.66,14.11,10.93
"사과, 부사, 생것",100,56,0.2,0.77,13.58,11.13
"사과, 홍옥, 생것",100,58,0.21,0.55,14.65,10.73
"사과, 아오리, 생것",100,52,0.27,0.04,14.16,8.85
"사과, 아오리, 생것, 껍질 포함",100,49,0.3,0.03,13.36,8.17
"사과, 말린것",100,275,1,1.6,71.8,-
"사과, 넥타",100,53,1,0.2,11.7,-
"사과, 잼",100,267,0.2,0.1,66.2,-
"사과, 통조림",100,66,0.7,0.3,15.1,-
사과 음료,100,38,0.03,0,9.36,7.05
사과 주스,100,42,0.17,0.01,11.45,9.98
"산딸기, 생것",100,55,1.35,0.22,13.55,7.8
"산수유, 열매, 생것",100,112,0.87,2.82,23.83,10.33
"산수유, 과육, 말린것",100,292,3.6,0.5,76.6,-
"살구, 생것",100,30,1.2,0.05,7.12,7.39
"살구, 말린것",100,258,3.21,0.18,68.39,25.62
"살구, 통조림",100,48,0.63,0.04,12.34,10.74
"살구, 넥타",100,41,0.2,0.1,9.9,-
"살구, 잼",100,304,0.46,0.03,75.36,56.06
"석류, 생것",100,77,0.29,0.2,20.71,9.94
"소귀나무 열매, 생것",100,24,0.8,0.6,4.6,-
"수박, 적육질, 생것",100,31,0.79,0.05,7.83,5.06
"수박, 황육질, 생것",100,36,0.65,0.05,9.26,5.53
"애플수박, S-비너스, 생것",100,40,0.94,0.81,8.39,6.23
"산자나무 열매(씨벅톤), 생것",100,70,1,3.8,9.7,-
"아떼모야, 생것",100,73,1.2,0.1,19,-
"아로니아, 네로, 생것",100,60,0.82,0.21,15.41,4.49
"아로니아, 바이킹, 냉동",100,68,1.08,0.23,17.45,4.44
"아보카도, 생것",100,160,2,14.66,8.53,0.66
"아세로라, 감미종, 생것",100,36,0.7,0.1,9,-
"아세로라 주스, 과즙 음료(10%)",100,42,0.1,0,10.5,-
"앵두, 생것",100,61,1.1,0.3,15.2,-
"엘더베리, 생것",100,73,0.66,0.5,18.4,-
"오디, 생것",100,56,0.8,0.4,14,-
"오디, 재래종, 생것",100,54,2.6,0.3,12,-
"오렌지, 생것",100,47,0.92,0.16,11.81,9.21
"오렌지, 발렌시아, 생것",100,49,1.04,0.3,11.89,-
오렌지 마멀레이드,100,246,0.3,0,66.3,60
오렌지 주스,100,36,0.58,0.04,9.49,6.88
"오렌지 음료, 캔",100,41,0.06,0.01,11.4,9.58
"오렴자(카람볼라), 생것",100,30,0.7,0.1,7.5,-
"오미자, 생것",100,81,2.1,3.3,12.8,-
"오미자, 말린것",100,362,8.5,13.5,61.3,-
오미자청,100,226,0.14,0.26,55.87,50.14
"올리브 절임, 미숙, 초록색",100,137,1.09,12.36,5.34,0
"올리브 절임, 완숙, 검은색",100,121,0.8,12.3,3.4,-
"용과, 백육종, 생것",100,44,1,0.4,10.3,-
"용과, 적육종, 생것",100,45,0.9,0.2,11.2,-
"용과, 황색종, 생것",100,54,1,0.1,13.9,-
"유자, 전체, 생것",100,49,0.93,0.09,12.54,4.1
"유자, 과육, 생것",100,40,0.87,0.06,10.28,2.24
"유자, 껍질, 생것",100,55,1.02,0.09,14.21,5.87
"으름, 생것",100,158,2,12.9,11.9,-
"자두, 생것",100,26,0.5,0.6,5.3,-
"자두, 대석, 생것",100,32,0.6,-,8.4,-
"자두, 후무사, 생것",100,44,0.64,0.05,11.47,8.92
"자두, 말린것",100,240,2.18,0.38,63.88,38.13
"자몽(그레이프프루트), 생것",100,32,0.84,0.05,7.92,4.2
"자몽(그레이프프루트) 주스, 가당, 캔",100,46,0.58,0.09,11.13,11.03
"자몽(그레이프프루트) 주스, 무가당, 캔",100,37,0.55,0.66,7.54,7.69
"잭프루트, 생것",100,95,1.72,0.64,23.25,19.08
"잭프루트, 통조림",100,92,0.36,0.14,23.94,-
"참외, 생것, 씨 제거",100,45,1.33,0.04,11.23,9.81
"참외, 생것, 씨 포함",100,47,1.57,0.29,11.01,9.08
"참외, 금싸라기, 생것, 씨 제거",100,27,0.9,0.7,5,-
"체리, 생것",100,67,1.59,0.06,16.9,6.8
"체리, 통조림, 고형물",100,134,0.18,0.02,33.21,22.59
"체리, 통조림, 액즙",100,137,0.02,0,34.11,22.71
"크랜베리, 생것",100,46,0.46,0.13,11.97,4.27
"크랜베리, 말린것, 가당",100,314,0.25,0.58,85.73,74.3
크랜베리 주스,100,46,0.39,0.13,12.2,12.1
"크랜베리 주스, 칵테일",100,54,0,0.1,13.52,11.87
"키위, 골드, 생것",100,54,0.77,0.26,13.73,7.07
"키위, 그린, 생것",100,66,0.93,0.63,16.08,6.73
키위 주스,100,180,0.25,0,49.68,32.34
"탱자, 생것",100,84,1.3,1.5,18.5,-
"파인애플, 생것",100,53,0.46,0.04,14.32,10.26
"파인애플, 통조림, 고형물",100,78,0.31,0.04,19.18,15.81
"파인애플, 통조림, 액즙",100,76,0.13,0,18.81,13.02
"파인애플, 넥타",100,71,0.3,0,17.4,-
파인애플 주스,100,43,0.39,0.03,11.52,8.78
"파인애플 주스, 캔",100,53,0.36,0.12,12.87,9.98
"파파야, 미숙, 생것",100,23,0.45,0.05,5.95,1.73
"파파야, 완숙, 생것",100,40,0.7,0.08,10.24,8.78
"포도, 거봉, 생것",100,60,0.4,0.27,15.73,13.74
"포도, 거봉, 생것, 껍질 포함",100,68,0.59,0.05,18.25,12.32
"포도, 나르샤, 생것, 껍질 포함",100,58,0.55,0.22,15.18,12.94
"포도, 델라웨어, 생것",100,67,0.6,0.1,17.9,-
"포도, 두누리, 생것",100,57,0.44,0.25,14.82,13.87
"포도, 레드글로브, 생것, 껍질 포함",100,57,0.4,0.24,14.91,11.42
"포도, 마스캇함브르그, 생것",100,66,0.5,0.2,17.3,-
"포도, 새마루, 생것",100,54,0.46,0.15,14.28,11.74
"포도, 샤이니스타, 생것",100,76,0.49,0.22,20.2,17.07
"포도, 샤인머스캣, 생것, 껍질 포함",100,66,0.38,0.1,17.66,15.29
"포도, 세레단, 생것",100,58,0.6,0.1,15.4,-
"포도, 수옥, 생것",100,69,0.2,0.18,18.5,16.7
"포도, 스텔라, 생것, 껍질 포함",100,50,0.7,0.16,12.75,11.59
"포도, 진옥, 생것",100,52,0.45,0.08,13.88,12.43
"포도, 청수, 생것",100,65,0.33,0.07,17.48,16.45
"포도, 캠벨얼리, 생것",100,57,0.5,0.1,15.08,11.9
"포도, 캠벨얼리, 생것, 껍질 포함",100,51,0.61,0.05,13.59,9.16
"포도, 캠벨얼리, 생것, 껍질과 씨 포함",100,58,0.71,0.13,15.01,8.46
"포도, 탄금추, 생것",100,50,0.35,0.15,13.13,12.72
"포도, 탐나라, 생것",100,49,0.4,0.06,13.14,12.3
"포도, 홍단, 생것",100,59,0.37,0.13,15.75,14.84
"포도, 홍아람, 생것",100,57,0.39,0.09,15.4,15.3
"포도, 홍이슬, 생것",100,53,0.31,0.06,14.16,13.01
"포도, 홍주씨들레스, 생것, 껍질 포함",100,68,0.29,0.17,18.11,16.04
"포도, 흑구슬, 생것",100,62,0.27,0.6,15.68,14.64
"포도, 흑보석, 생것",100,52,0.3,0.15,13.9,12.69
"포도, 힘로드시드레스, 생것",100,47,0.41,0.03,12.63,7.94
"포도, 힘로드시드레스, 생것, 껍질 포함",100,45,0.42,0.03,12.1,8.48
"포도, 건포도",100,297,2.64,0.53,78.89,66.71
"포도, 넥타",100,66,0.2,0,16.2,-
"포도, 잼",100,292,0.28,0.03,72.6,60.17
"포도, 통조림",100,69,0.14,0.02,17.12,14.87
포도 주스,100,49,0.23,0,13.49,11.47
포도즙,100,48,0.66,0.01,12.62,9.71
"플럼코트, 생것",100,47,0.61,1.05,9.97,7.5
"프루트샐러드, 통조림",100,82,0.2,0.4,19.3,-
"프루트칵테일, 통조림",100,75,0.19,0.03,18.52,18.9
"프루트펀치, 통조림",100,48,0,0,11.97,11.29
"개구리고기, 생것",100,75,16.1,0.4,0.7,-
"거위고기, 살코기, 생것",100,161,22.75,7.13,0,-
"거위고기, 살코기, 구운것",100,238,28.97,12.67,0,-
"거위 부산물, 간, 생것",100,133,16.37,4.28,6.32,-
