식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
쉬림프&스테이크 올인(리치골드)L,119,290,14,-,-,5
쉬림프&스테이크 올인(치즈크러스트)M,104,250,13,-,-,3
쉬림프&스테이크 올인(치즈크러스트)L,106,253,13,-,-,3
직화불고기(크런치)M,108,296,13,-,-,5
직화불고기(크런치)L,113,308,13,-,-,5
직화불고기(리치골드)M,107,296,15,-,-,6
직화불고기(리치골드)L,104,289,14,-,-,5
직화불고기(치즈크러스트)M,191,536,28,-,-,6
직화불고기(치즈크러스트)L,192,535,26,-,-,6
수퍼슈프림(크런치)M,115,285,12,-,-,4
수퍼슈프림(크런치)L,126,309,13,-,-,5
수퍼슈프림(리치골드)M,113,283,14,-,-,5
수퍼슈프림(리치골드)L,117,289,15,-,-,5
수퍼슈프림(치즈크러스트)M,102,256,13,-,-,2
수퍼슈프림(치즈크러스트)L,108,267,14,-,-,3
베이컨포테이토(크런치)M,121,313,12,-,-,5
베이컨포테이토(크런치)L,131,333,13,-,-,5
베이컨포테이토(리치골드)M,119,311,14,-,-,5
베이컨포테이토(리치골드)L,122,313,14,-,-,5
베이컨포테이토(치즈크러스트)M,107,284,13,-,-,3
베이컨포테이토(치즈크러스트)L,113,291,13,-,-,3
직화불고기L,168,445,21,-,-,6
페페로니M,128,339,15,-,-,4
페페로니L,152,404,18,-,-,4
수퍼슈프림L,194,445,22,-,-,5
치즈M,133,346,17,-,-,4
치즈L,158,411,20,-,-,4
콘샐러드,100,100,2,-,-,7
코울슬로,100,87,1,-,-,10
크림치킨파스타,351,633,24,-,-,7
상하이쉬림프파스타,321,498,22,-,-,19
팝콘치킨,134,416,21,-,-,2
치즈볼,130,413,21,-,-,5
오리지날 윙 4조각,126,270,27,-,-,3
오리지날 윙 8조각,252,540,54,-,-,4
